age,income,credit_score,loan_amount,employment_years,region,product_type,missing_feature,duplicate_prone,id_col,target,post_event_score
42,53753.73463488444,660,15658.3454791251,0.055374453611640215,west,A,7.950942174173987,4,1,0,0.0
51,66142.62537631873,850,19797.718308743402,4.891682292306256,south,A,11.81612568703597,4,2,0,0.0
65,55415.70702799528,681,32447.875038304126,0.5127778588444128,west,A,7.594606828197939,1,3,1,0.9385451787236128
49,48544.76513679131,640,31277.944294399364,0.6825020672850148,north,A,9.42726772826965,5,4,0,0.03182610233541183
48,28274.099402977416,707,23473.827390579816,0.4510584311059259,north,A,8.827896720048884,5,5,0,0.0
42,49124.461320974406,616,5193.509271567732,9.275941163018834,west,A,10.328641318763832,4,6,1,0.9790075070542128
47,68497.32389474504,470,25232.115877286706,9.9532717965367,east,C,8.719019856289147,3,7,0,0.0
39,31488.243776911677,625,38249.71770740104,3.2279939121180687,east,A,9.458212745858125,3,8,0,0.0
65,46328.79239295093,624,15585.769189645493,3.5449961358701025,south,C,9.52773981644403,2,9,0,0.0
30,44187.72901762459,490,36876.11046232181,9.167130972241736,west,A,8.531224485217399,4,10,0,0.0
40,39534.43144043382,642,5681.8768917775205,1.4220845747311712,east,A,10.970187736994225,2,11,0,0.04250520484485684
49,53718.845067785085,443,45860.35119415393,0.26995449116727693,south,C,10.476776749674851,1,12,1,0.9485429022957995
48,56649.57861884011,615,47751.764344510586,1.7106339571533011,south,B,9.822772109493666,1,13,0,0.0
39,56492.40357190155,674,5110.76675410517,11.76492199604085,south,A,,3,14,1,1.0
28,35347.85354577313,659,25601.828621293054,3.0819282991130397,east,B,11.593088061039994,5,15,0,0.04361810458066546
31,25310.244584994758,608,23621.987310740107,9.910841718258034,east,A,,4,16,0,0.0
44,53935.826547960925,641,42884.75101637779,18.987445121822546,west,B,9.386605424348126,5,17,0,0.07336077025114536
26,42411.21437776022,571,29332.47160954709,0.20634087423345854,south,A,10.209380059776253,4,18,0,0.0
50,77574.68569530179,651,32511.44614712229,5.517694684323787,south,B,13.393173365941701,5,19,1,0.9272972199695796
59,78267.6454402242,655,14112.77013888901,8.840647416973908,east,C,7.319287583957593,4,20,0,0.0
53,79860.34691594061,559,8467.91005986864,1.130460140742651,east,B,,5,21,0,0.0
56,35898.3364844793,676,36154.89937321813,6.515377187809678,south,B,6.2136576775237895,3,22,0,0.016827448258005813
